data;chamadas
02/01/2017 18:45;50
02/01/2017 19:00;35
02/01/2017 19:15;45
02/01/2017 19:30;47
02/01/2017 19:45;42
02/01/2017 20:00;39
02/01/2017 20:15;32
02/01/2017 20:30;29
02/01/2017 20:45;21
02/01/2017 21:00;28
02/01/2017 21:15;28
02/01/2017 21:30;33
02/01/2017 21:45;19
02/01/2017 22:00;16
02/01/2017 22:15;2
02/01/2017 22:30;0
02/01/2017 22:45;0
03/01/2017 07:00;6
03/01/2017 07:15;25
03/01/2017 07:30;21
03/01/2017 07:45;16
03/01/2017 08:00;19
03/01/2017 08:15;7
03/01/2017 08:30;22
03/01/2017 08:45;23
03/01/2017 09:00;27
03/01/2017 09:15;31
03/01/2017 09:30;30
03/01/2017 09:45;35
03/01/2017 10:00;33
03/01/2017 10:15;28
03/01/2017 10:30;22
03/01/2017 10:45;33
03/01/2017 11:00;19
03/01/2017 11:15;24
03/01/2017 11:30;37
03/01/2017 11:45;42
03/01/2017 12:00;39
03/01/2017 12:15;43
03/01/2017 12:30;36
03/01/2017 12:45;29
03/01/2017 13:00;47
03/01/2017 13:15;32
03/01/2017 13:30;30
03/01/2017 13:45;36
03/01/2017 14:00;28
03/01/2017 14:15;33
03/01/2017 14:30;38
03/01/2017 14:45;30
03/01/2017 15:00;48
03/01/2017 15:15;42
03/01/2017 15:30;36
03/01/2017 15:45;50
03/01/2017 16:00;53
03/01/2017 16:15;39
03/01/2017 16:30;53
03/01/2017 16:45;36
03/01/2017 17:00;37
03/01/2017 17:15;45
03/01/2017 17:30;42
03/01/2017 17:45;34
03/01/2017 18:00;30
03/01/2017 18:15;37
03/01/2017 18:30;45
03/01/2017 18:45;46
03/01/2017 19:00;43
03/01/2017 19:15;42
03/01/2017 19:30;37
03/01/2017 19:45;41
03/01/2017 20:00;44
03/01/2017 20:15;35
03/01/2017 20:30;40
03/01/2017 20:45;34
03/01/2017 21:00;33
03/01/2017 21:15;27
03/01/2017 21:30;25
03/01/2017 21:45;30
03/01/2017 22:00;29
03/01/2017 22:15;4
03/01/2017 22:30;1
03/01/2017 22:45;0
04/01/2017 07:00;6
04/01/2017 07:15;19
04/01/2017 07:30;18
04/01/2017 07:45;17
04/01/2017 08:00;16
04/01/2017 08:15;15
04/01/2017 08:30;20
04/01/2017 08:45;27
04/01/2017 09:00;26
04/01/2017 09:15;24
04/01/2017 09:30;23
04/01/2017 09:45;30
04/01/2017 10:00;36
04/01/2017 10:15;31
04/01/2017 10:30;37
04/01/2017 10:45;34
04/01/2017 11:00;30
04/01/2017 11:15;28
04/01/2017 11:30;31
04/01/2017 11:45;38
04/01/2017 12:00;28
04/01/2017 12:15;36
04/01/2017 12:30;34
04/01/2017 12:45;23
04/01/2017 13:00;23
04/01/2017 13:15;32
04/01/2017 13:30;39
04/01/2017 13:45;36
04/01/2017 14:00;34
04/01/2017 14:15;54
04/01/2017 14:30;33
04/01/2017 14:45;47
04/01/2017 15:00;46
04/01/2017 15:15;42
04/01/2017 15:30;47
04/01/2017 15:45;40
04/01/2017 16:00;40
04/01/2017 16:15;52
04/01/2017 16:30;41
04/01/2017 16:45;42
04/01/2017 17:00;48
04/01/2017 17:15;59
04/01/2017 17:30;61
04/01/2017 17:45;42
04/01/2017 18:00;49
04/01/2017 18:15;40
04/01/2017 18:30;27
04/01/2017 18:45;37
04/01/2017 19:00;53
04/01/2017 19:15;30
04/01/2017 19:30;60
04/01/2017 19:45;39
04/01/2017 20:00;31
04/01/2017 20:15;45
04/01/2017 20:30;31
04/01/2017 20:45;25
04/01/2017 21:00;18
04/01/2017 21:15;22
04/01/2017 21:30;20
04/01/2017 21:45;27
04/01/2017 22:00;19
04/01/2017 22:15;3
04/01/2017 22:30;0
04/01/2017 22:45;0
05/01/2017 07:00;8
05/01/2017 07:15;19
05/01/2017 07:30;16
05/01/2017 07:45;19
05/01/2017 08:00;18
05/01/2017 08:15;26
05/01/2017 08:30;23
05/01/2017 08:45;32
05/01/2017 09:00;29
05/01/2017 09:15;29
05/01/2017 09:30;36
05/01/2017 09:45;23
05/01/2017 10:00;34
05/01/2017 10:15;24
05/01/2017 10:30;37
05/01/2017 10:45;33
05/01/2017 11:00;41
05/01/2017 11:15;34
05/01/2017 11:30;37
05/01/2017 11:45;34
05/01/2017 12:00;32
05/01/2017 12:15;35
05/01/2017 12:30;19
05/01/2017 12:45;39
05/01/2017 13:00;33
05/01/2017 13:15;30
05/01/2017 13:30;35
05/01/2017 13:45;34
05/01/2017 14:00;27
05/01/2017 14:15;35
05/01/2017 14:30;37
05/01/2017 14:45;32
05/01/2017 15:00;30
05/01/2017 15:15;35
05/01/2017 15:30;36
05/01/2017 15:45;35
05/01/2017 16:00;45
05/01/2017 16:15;41
05/01/2017 16:30;30
05/01/2017 16:45;43
05/01/2017 17:00;50
05/01/2017 17:15;48
05/01/2017 17:30;48
05/01/2017 17:45;49
05/01/2017 18:00;51
05/01/2017 18:15;46
05/01/2017 18:30;46
05/01/2017 18:45;42
05/01/2017 19:00;39
05/01/2017 19:15;45
05/01/2017 19:30;38
05/01/2017 19:45;43
05/01/2017 20:00;38
05/01/2017 20:15;40
05/01/2017 20:30;35
05/01/2017 20:45;29
05/01/2017 21:00;27
05/01/2017 21:15;30
05/01/2017 21:30;29
05/01/2017 21:45;33
05/01/2017 22:00;15
05/01/2017 22:15;5
05/01/2017 22:30;2
05/01/2017 22:45;0
